"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46"
"B4053_RML_1wk_Brain_20070102_40996_LH.CEL",-32.5819290511535,2.81673700876109,22.9110635238293,-14.1631430443846,-8.97993703539103,-6.96158866191852,7.10952771953289,-3.21563860374514,20.8452908296426,-6.84654523096861,5.52427052419189,-13.6423704347932,12.7199352655392,-12.7174451728248,17.2756318870779,-11.8904921919459,-8.83514016808382,11.3038190837163,7.35393316204132,4.23715093044197,0.970091309038632,5.45144401700126,-9.41888245485199,-2.13594318928271,4.42196942457578,1.45967232407644,4.37938477242788,2.64392582621578,7.28765096265186,0.792555866171027,-10.4799840454534,-0.563140172399143,-7.7279819216087,-7.77626728638937,-2.45700593935457,-1.26685847422613,-7.28808589411439,17.6976606374604,0.835988234815896,7.78105278005424,-2.39158308747258,-9.07367090486616,-0.31325272215688,22.7529580448706,-8.26919229152595,-2.40861150468952e-13
"B4053_RML_1wk_Brain_20070102_40996_RH.CEL",-80.8212784259773,17.2271069535775,-68.8838932389227,16.9177974268967,-45.4367162034731,-13.5117479733454,-21.0129222722652,5.22767548742107,-11.967700834706,15.2080534071215,18.0791544228398,-6.33471023704245,1.13017513764916,-17.02411702469,12.5458716048577,13.0171952248664,7.82452564573228,10.5386337612638,-10.0600647451167,-6.2735898743727,4.09170061378338,-2.37149132764675,-5.05598882048748,-3.63548842261634,7.93678084571588,-7.40259191088354,6.27481306344373,19.4320096151337,-4.42431450199457,-8.48565925532917,11.2447234419938,-6.03293184215658,0.673643293262328,0.147586930952525,1.20288421669691,-2.58159737324241,-7.66214555028797,-4.20836163146102,5.67880117597729,1.67434135487982,6.91686918265523,-5.00552626651622,-1.19273249499668,-2.86745488594733,1.70772186405148,-1.1978612546315e-13
"B4053_RML_2wks_Brain_20070102_40988_LH.CEL",-24.8470518227981,14.0943099557921,48.0508868965764,-30.1260466152703,-11.2838594074472,9.8818483327216,11.2086093829659,-11.5311651540589,14.254891067914,-21.0955398960106,4.62950917294391,-16.5158416486357,-10.7405619632579,-1.00457527152872,-10.2027147895698,-6.7093856778382,6.68451332773518,3.09072584732634,-1.23948440808397,-0.377029605463789,1.6695881592017,-13.0159485426592,-11.3443090607963,-2.31357888837489,16.009552056543,-5.47016536000004,3.86916784340285,-2.13642503028596,-0.985029101535551,-1.73950130596096,-0.181475533620537,-9.98739061754935,-1.33853102663751,6.03413376572335,-9.70817061390595,-2.1470244072132,-0.171174695626936,-1.94951610653854,3.71644707878157,-8.8356043383114,16.7673582326738,12.150716674104,17.8750170705946,-5.96330688830906,-2.59694008718308,-2.41861218552852e-13
"B4053_RML_2wks_Brain_20070102_40988_RH.CEL",-48.8924772125571,5.533677313113,4.28045620337902,14.9269730153058,-50.181930152634,-1.44313304001341,-11.3599965793042,4.71414927417677,-0.847900627615639,-21.7627501280703,0.0422580925498999,-13.8300784990403,-20.3771674071968,2.77016036044075,-7.20127449655347,2.31102870508153,9.98518165182843,-18.4934378479429,-9.35129278165374,15.9899598911341,-2.43944355849018,-13.0555978055073,-2.55983294217455,-2.59803667479172,-5.76975240986415,0.081478032680364,3.30453958350781,-1.65627482206005,-0.768887993038216,-6.73275183235449,-14.0002453784011,7.71972753898042,-11.1553551124643,11.3360033921012,5.46972127970454,5.48422813009083,8.47557724211558,7.65131438797461,2.76510691872119,4.01713225322347,-9.40701553020552,-3.58008317851871,-9.55646487106959,1.03401622442145,6.58211914760391,-2.31730433453148e-13
"B4053_RML_3wks_Brain_20070102_40992_LH.CEL",-26.0555605332964,21.6430620246121,41.944769359054,-22.2771406867534,-21.7539677068012,-2.43697595863138,2.10490294533614,-4.67602323001293,7.08328327919894,-5.58214227953729,-11.4769179129207,-0.0263055783932792,6.16780650259736,3.36022598910238,-15.7519875768736,3.84914019663367,5.34600832156555,8.85286588819536,-5.16029487815232,-14.9347963344676,3.03628836047023,-6.85125336767486,-15.7172004002815,-8.48648440430732,6.59736245652714,-15.8170171140527,-16.5429852827858,1.65992087551651,3.53714359956288,4.57749544126037,10.5984146572441,1.59075111461688,11.6611293564002,-14.4552465846041,3.04555473992058,9.47417840763565,3.06619825786595,-2.84230297523796,-8.62752521537148,4.62534998486995,-16.5260375272406,-0.862283518426349,-9.3758798832919,-0.175226297568632,2.63091850810074,-2.42115355542083e-13
"B4053_RML_3wks_Brain_20070102_40992_RH.CEL",-50.7604033730901,2.92216736454412,-12.4090505755893,22.9170161835136,-57.8079356895038,-11.2729410658355,-21.0946178999239,7.85972156260079,25.5263404857775,1.95110661593959,-19.0373328793947,-0.792230932018614,20.1716924757631,14.5059328281803,3.03518190778324,-7.70457440869517,-5.13471056277185,-20.1671100142164,12.8966517646981,-7.78763090765494,4.83910522256629,9.38925066692637,9.45098530759382,18.9139762950828,-0.869860212129018,-13.8809671553365,2.20352855830051,-4.48989403823209,4.17114589013228,1.09103522992648,-1.72564518805039,-0.739000288562612,9.50194447444448,1.62100676375401,-3.74020382925043,-2.51963525116973,-0.25507291426093,-1.01364556790967,1.53245924204789,-3.87612370131765,3.3726730932691,3.74575808987992,2.63786286102231,-2.36349091270033,-3.14027363308689,-1.7380021033464e-13
"B4053_RML_4wks_Brain_20070102_40999_LH.CEL",-26.4054077600533,27.6218095716404,35.7554514516238,-36.1989495119877,-14.3884132167132,-1.39456656837466,-6.90889416617763,-1.0756450982418,-2.73062500687975,1.47171413610366,8.25786134464511,6.36144158220252,1.56109146054493,6.64732441456496,-2.192347626555,-5.05890309884778,-1.98610556182498,2.77182525630265,3.27138420181788,-3.01584679721366,5.01652679025314,3.16442647123886,11.1103394859097,7.25649634332798,3.51559946949723,11.1652693560153,-4.96021989673087,-1.39558489341974,-4.11556010560031,-9.63310807342795,8.41665065454881,0.738381295290327,-24.6217971897496,-5.78677128990795,1.3881262038078,-3.89870743007071,0.798114173715191,-3.14178580652808,-6.24900867418529,-4.20860337165494,8.36468252200457,5.8358468895071,-23.216089930341,-6.43215495029426,-12.7009192195493,-2.2815516836916e-13
"B4053_RML_4wks_Brain_20070102_40999_RH.CEL",-31.6210969937937,19.0265477210771,14.8818772517452,-11.286245030573,-23.5815408191583,-2.85815840055241,-13.343567425441,9.9318021973866,11.2226375135159,-8.0064141273359,11.201553705976,9.24959081471228,7.10036437519619,-5.77701176945926,-2.5095814939698,-3.61317322884824,-8.64961248109923,8.82018123355799,11.8307636521415,7.0527112079677,0.408738953707469,4.43866841242838,4.48843313170204,-0.695668057766365,1.00378694453689,15.5638400686342,4.52648704823602,-0.706165653107093,0.516611836937363,6.19254259719814,14.4402849572227,9.69595956655282,-12.4282460277132,1.35216610583377,1.33123357169172,-3.20595925150426,7.13175736657583,-10.822974811065,-7.07560232001123,-0.601983473426879,-13.4364425324244,-8.46211519880797,19.9048286722947,-4.41196741458231,13.8379181026361,-2.04840051171162e-13
"B4053_RML_5wks_Brain_20070103_41076_LH.CEL",-15.0472565036625,8.17932668775152,47.0139304999541,-26.2101357328062,-0.801526314861267,6.75857022597378,10.5794552681281,-5.7376529013411,-12.9256012758009,-9.02643193689191,-9.99925321843527,-8.12350097296375,1.81522673660176,-8.67115288981099,9.99269089275758,0.483185899982015,-6.85541738979429,-2.13018965489711,-2.56640716002856,-0.791092179429354,-0.698461421577592,12.1494436021044,5.64663465049484,-0.285726686460168,-7.12686072106261,2.20424227769936,11.9467797377141,-1.14182652676358,4.34099913068869,6.66989831393322,-2.47607475015468,-6.57777415256159,6.30424873169771,-9.63396376658219,-5.97621080111638,-1.33876975439119,-8.13428387168752,5.88796286728192,6.5650314152262,-0.11656906347949,8.29242596466413,-3.45733555340195,-12.1942993691651,-12.5315669073212,25.5886371640893,-2.55524768011384e-13
"B4053_RML_5wks_Brain_20070103_41076_RH.CEL",-51.9447464604087,31.2912670029421,7.60079792528224,-31.2931687584351,-16.3801260286907,-2.54161446038163,-7.34635294908237,10.6016290737934,-35.6564125970764,-5.17316667658525,4.26493913815015,0.910702848594408,3.53641400517885,-8.26214729781554,11.6386870865745,6.10951771138241,-9.67573919939883,2.09804016934483,-10.1936302388753,1.76556615673238,-2.68958691457355,3.23855782333259,-1.6313376023964,2.00929494217316,-17.0314477745055,5.87621408816589,1.51046980246929,-6.49594920786254,1.11009221440135,3.34329880882211,-1.35937417764481,4.54078251177251,10.3168724751382,-2.5940752813257,-1.36299873973599,6.91080440005702,0.959639869978724,7.12303378499188,8.15562238769341,-7.51039324522905,-12.5408786616687,16.2517943681848,9.38826445093944,-4.82328803179377,-15.8059701591117,-2.48936288249624e-13
"B4053_RML_5wks_Brain_20070103_41112_LH.CEL",-35.7136058374729,1.2137438759604,29.1629045792617,-4.96358306400654,-17.4944605636463,4.72632226047148,17.3809490349162,10.1706520011942,-20.9125896394389,-7.52866179017155,-6.58477097728968,5.46303243788112,-0.786305741847689,-12.7732006029485,-3.88640552987333,1.67198833495807,-7.63363454498616,-8.61015078825578,-0.713026473432613,6.08276077409212,-10.69365969563,-5.50301175352141,3.9442474085583,-1.04183642910607,0.068425699553923,1.89313589623918,7.29736688869253,0.0884368544248321,-4.06994204665004,6.27193735878259,4.3575966978667,10.216157870342,17.302242698643,6.85066770171519,6.66781153567395,-4.50573381341529,-0.168147235738447,-12.064121986549,-19.7728015646207,9.46864760055613,17.9761201177537,-5.21305005957331,-2.3265047292159,12.2601738200822,-6.31168625103975,-2.30965420400242e-13
"B4053_RML_5wks_Brain_20070103_41112_RH.CEL",-44.8368914073552,-14.4004079811794,14.2619701649677,12.2234636054065,-27.8408663007228,2.64123601429801,19.6100097074776,0.459144338710547,-7.98717506381496,19.6500877139892,-8.88522656134478,30.5550841714384,7.22403759489428,-15.4297882369771,-6.42156292009602,-2.53259985792635,15.7496834934831,1.49045353633431,11.0457416739043,3.4334254939675,19.3086845083941,-11.2130521987936,4.04583053934345,-11.9519244926565,-3.31087625146418,15.859471052967,-15.9615884834525,-1.52159310581428,8.41786879278339,-2.16129473949504,-12.5334301298829,-8.81476444556015,4.77335738996057,3.7824161614232,-6.04211613253537,-5.32843244244051,0.41351853373577,1.52230390685137,5.55021151032218,-4.29901140686266,1.58946119033491,-0.627063882331372,0.437055793496702,1.92497929286531,1.86372788142512,-2.15237550005298e-13
"B4053_RML_6wks_Brain_20070103_41079_LH.CEL",-44.6512330494431,-16.5458320728273,22.4733877001643,23.3128344820049,-15.9368922203493,14.391440109472,25.5652516530978,-18.9048801311542,18.208347138385,7.6720871782259,8.15727532758345,-3.28919806290481,-4.11559741456806,8.78663894647815,-9.50847636327344,10.5432727918872,-3.81336429414443,21.6899551248776,10.2400222264732,-1.1102976698827,-15.2163005176386,18.3357642816221,5.17739737287536,-5.61271322010043,-2.80268811702009,1.22787041674549,0.949065655945257,11.0249788623675,-1.66083274635772,7.05748144198229,-0.52428987207637,2.71548903540709,6.68752432369275,15.5253618506858,16.0372353958999,-1.23204398698236,5.86730193599239,4.41182419606267,9.537517830024,-7.24462535458893,-0.621925640096392,7.7968355170916,-6.31784836763425,-0.274913791310945,-1.38614561758789,-2.28703340987568e-13
